claimant_name,aadhar_number,phone_number,spouse_name,father_mother_Name,address,village,gram_panchayat,tehsil,district,ST_OTFD_Status,family_members_names,family_members_ages,habitation_area,cultivation_area,disputed_lands,patta_lease_grants,rehabilitation_land,displacement_details,forest_village_extent,other_traditional_rights,age_of_claimant,gender,marital_status,household_members,elderly_count_60plus,disability_in_household,primary_livelihood,annual_income,cultivable_land_ownership,house_type,electricity_connection,water_source,toilet_available,school_going_children,highest_education_level,shg_membership
Kavita Kumar,5.42E+11,9314897741,Ravi Bai,Ravi Yadav,"House 241, Dindori Gaon",Baiga Chak,GP Ghughri,Ghughri,Sheopur,ST,Kavita Singh,51,0.41,2.73,No,Yes,No,No,Yes,No,74,Other,Married,3,2,No,NTFP,80523,Yes,Pucca,Yes,Tap,Yes,Yes,Upper Primary,No
Ramesh Bhil,4.96E+11,8659216685,Amit Singh,Ramesh Das,"House 45, Alirajpur Falia",Sheopur Pada,GP Bajag,Bajag,Umaria,ST,Lakshmi Sahu,3,0.65,3.94,Yes,No,Yes,Yes,Yes,Yes,29,Other,Separated,7,0,No,NTFP,110968,Yes,Pucca,Yes,Stream,No,No,Higher Secondary,Yes
Ravi Bai,5.59E+11,9857864997,Ravi Biswas,Suresh Yadav,"House 81, Dindori Gaon",Alirajpur Falia,GP Bajag,Ghughri,Barwani,ST,Suresh Yadav,56,0.94,2.18,Yes,Yes,Yes,Yes,No,Yes,82,Female,Separated,2,0,Yes,Other,133057,Yes,Semi-Pucca,Yes,None,Yes,Yes,Primary,No
Amit Singh,9.10E+11,8274564028,Meena Bhil,Lakshmi Rathore,"House 255, Alirajpur Falia",Bhilapur,GP Ghughri,Bajag,Umaria,ST,Ramesh Bai,46,0.06,3.01,Yes,Yes,Yes,Yes,No,Yes,26,Other,Single,4,2,Yes,NTFP,49314,Yes,Semi-Pucca,Yes,None,No,No,Primary,No
Lakshmi Kumar,5.40E+11,7433294352,Meena Kumar,Sunita Das,"House 67, Sheopur Pada",Sheopur Pada,GP Pushparajgarh,Ghughri,Sheopur,OTFD,Vikas Naidu,36,0.16,1.53,No,No,No,No,No,Yes,62,Male,Separated,6,0,No,Wage Labour,71432,No,Pucca,Yes,Tap,No,Yes,Higher Secondary,No
Kavita Bhil,4.20E+11,9273989953,Kavita Bai,Anita Biswas,"House 102, Korku Pada",Jhabua Kheda,GP Pati,Pati,Dindori,ST,Vikas Verma,13,0.14,0.68,Yes,Yes,No,No,Yes,No,61,Female,Single,7,2,Yes,Wage Labour,80954,Yes,Semi-Pucca,No,Handpump,No,Yes,Secondary,No
Sunita Kumar,4.75E+11,6168150307,Arjun Sahu,Meena Kumar,"House 91, Mandla Pur",Barwani Tola,GP Pushparajgarh,Pali,Sheopur,ST,Ramesh Verma,13,0.09,1.72,Yes,No,Yes,Yes,No,Yes,65,Female,Single,5,2,No,NTFP,135812,Yes,Semi-Pucca,Yes,None,No,No,Upper Primary,Yes
Pooja Verma,5.26E+11,6441663561,Anita Biswas,Amit Gaikwad,"House 42, Dindori Gaon",Jhabua Kheda,GP Bajag,Pali,Jhabua,ST,Amit Singh,58,0.31,1.68,No,No,No,No,No,Yes,36,Male,Separated,2,2,No,NTFP,139242,Yes,Pucca,Yes,None,No,Yes,Higher Secondary,Yes
Ramesh Yadav,7.51E+11,6227516899,Kavita Yadav,Meena Kumar,"House 276, Mandla Pur",Sheopur Pada,GP Niwas,Bajag,Jhabua,ST,Sunita Bhil,85,0.24,1.68,Yes,No,Yes,No,No,No,71,Female,Widowed,1,2,No,NTFP,23602,No,Semi-Pucca,Yes,Stream,No,No,Graduation,No
Suresh Bai,7.40E+11,6408301583,Neha Bhil,Lakshmi Kumar,"House 274, Bhilapur",Baiga Chak,GP Niwas,Pati,Umaria,ST,Lakshmi Sahu,34,0.55,2.78,No,Yes,Yes,Yes,Yes,Yes,53,Female,Married,8,0,No,Other,119620,Yes,Kutcha,No,Stream,Yes,Yes,Primary,No
Amit Nayak,1.07E+11,9674785293,Neha Naidu,Amit Gaikwad,"House 77, Dindori Gaon",Mandla Pur,GP Pati,Pali,Mandla,ST,Pooja Nayak,43,0.33,1.62,Yes,No,No,No,Yes,No,32,Female,Widowed,4,0,Yes,NTFP,122964,No,Semi-Pucca,Yes,Tap,No,No,Graduation,Yes
Pooja Yadav,2.59E+11,8894906703,Meena Rathore,Kavita Yadav,"House 234, Jhabua Kheda",Baiga Chak,GP Ghughri,Bajag,Anuppur,ST,Sunita Kumar,28,0.41,3.82,Yes,Yes,Yes,Yes,Yes,No,26,Other,Separated,5,1,No,Other,115909,Yes,Semi-Pucca,Yes,Stream,No,No,Graduation,Yes
